text,label
"that don't hurtMy current severed limbs don't hurt. However, I do feel a sense of emptiness or lack of sensation where they used to be.",0
"My uncle is currently in the hospital because he got an electrical burn. Apparently, he was trying to fix his TV and he got a shock. Now, his whole arm is swollen and he has a really bad burn on it. The doctors are trying to figure out how bad the burn is and how to treat it.",1
"She is experiencing really bad headaches that come on suddenly and make it difficult for her to see, think, or do anything. The pain is so severe that she often has to take medication and lie down in a dark room until it goes away.",2
"My family member has been experiencing lower back pain for the past few days. It is a sharp, stabbing pain that comes and goes. He has been unable to sleep because of it and is very restless.",3
I'm in a hotel room and it's really loud. There's a lot of construction going on outside and it's just really loud in here.,4
"My mother is currently experiencing very heavy bleeding. It's coming out of her at an alarming rate, and it's very concerning. We're not sure what's causing it, but we're hoping to find a solution soon.",0
"and painMy aunt has been having a lot of joint pain and dislocations lately. She says her joints feel really loose and unstable, and the pain is really bad. She's been trying to take it easy, but it's been really hard with the kids.",1
"The patient has recently been bitten by several different kinds of insects, including mosquitos, spiders, and bees. The bites are itchy and painful, and some of them have swelled up quite a bit. The patient has also been bitten by a few animals, including a dog and a cat. These bites are also itchy and painful, and have caused some swelling.",2
"I've been having diarrhea for a few days now. It's been pretty consistent, with around five episodes per day. The diarrhea is watery and has a slightly sour smell. It's been really uncomfortable and I've been feeling pretty drained.",3
"servicesHello, my name is John and I am in need of help cleaning my house. It is currently in a state of disarray and I am unable to clean it up on my own. Can you send someone over to help me out?",4
"Hi, I'm a nurse here in the emergency room. We're currently caring for a patient who is having a heart attack.The patient is in a lot of pain and is very distressed. Their heart rate is high and their blood pressure is low. We're doing everything we can to try to relieve their pain and stabilize their condition.The patient's heart is not functioning properly and they are at risk of having a cardiac arrest. We're monitoring them closely and will do everything we can to save their life.",0
statusThe patient's overdose is currently stable.,1
"I've been having a bit of spotting over the past few days. It's not really enough to make a sanitary pad or tampon necessary, but it's enough that I can see it when I go to the bathroom. It's not really painful, but it's a bit bothersome.",2
"There is too much phlegm in my throat and chest. I constantly have to clear my throat, and I am having trouble breathing. This is really disrupting my quality of life.",3
"A patient may feel too cold if he or she is experiencing a decrease in body temperature. This may be caused by various factors such as exposure to cold weather or medications that can lower body temperature. Symptoms of feeling too cold may include shivering, feeling chilled, and a decreased body temperature. Treatment for feeling too cold may include warming the patient's environment, using warmed blankets or clothes, or medications to raise the body temperature.",4
"The patient currently has their limbs severed. We are unsure of why this has happened, but we are hoping that they will receive the necessary treatment soon. We are trying to keep them as comfortable as possible, and we are hopeful that they will make a full recovery.",0
"There are several types of limb fractures, which can occur in any bone in the arm or leg. The most common fractures are of the forearm, the leg bones (tibia and fibula), and the ankle.One type of fracture is a simple fracture, which is a clean break with no displacement of the bone fragments. A displaced fracture occurs when the bone fragments are out of alignment. This can be a more serious fracture, as it can cause nerve and blood vessel damage. A comminuted fracture is a fracture in which the bone is broken into several pieces.Some fractures can be treated without surgery. The bone is often immobilized in a cast or brace to allow it to heal. However, some fractures require surgery to realign the bone and hold it in place with metal plates and screws.There are several types of limb fractures, which can occur in any bone in the arm or leg. The most common fractures are of the forearm, the leg bones (tibia and fibula), and the ankle.One type of fracture is a simple fracture, which is a clean break with no displacement of the bone fragments. A displaced fracture occurs when the bone fragments are out of alignment. This can be a more serious",1
"Minor burns are characterized by redness, mild pain, and slight swelling. The skin may also be dry and peeling.",2
